stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
F03409,"Árpádföld",47.533231,19.212043,0,009527,2
F03410,"Árpádföld",47.532726,19.213064,0,009527,2
F03411,"Szabadságtelep",47.537862,19.206293,0,009528,2
F03412,"Szabadságtelep",47.536945,19.206077,0,009528,2
F03413,"Cinkota",47.519435,19.217338,0,008529,2
F03414,"Cinkota",47.519434,19.217524,0,008529,2
F03415,"Mátyásföld alsó",47.515962,19.207349,0,008528,2
F03416,"Mátyásföld alsó",47.515986,19.207568,0,008528,2
F03417,"Mátyásföld, Imre utca",47.513783,19.20026,0,008527,2
F03418,"Mátyásföld, Imre utca",47.513308,19.198904,0,008527,2
F03419,"Mátyásföld, repülőtér",47.512063,19.194665,0,008464,2
F03420,"Mátyásföld, repülőtér",47.511651,19.193443,0,008464,2
F03421,"Ilonatelep",47.526908,19.229832,0,008530,2
F03422,"Ilonatelep",47.526307,19.229073,0,008530,2
